Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo;Weighted Change;Relative Strength Rating
AEE;92.35;86.42;77.91;71.94;67.21;6.86;18.53;28.37;37.41;19.61;77
ADSK;302.05;283.8;247.52;212.85;253.81;6.43;22.03;41.91;19.01;19.16;77
ETN;356.83;329.54;302.01;314.38;242.11;8.28;18.15;13.5;47.38;19.12;77
STT;96.12;92.0;83.45;70.56;71.27;4.48;15.18;36.22;34.87;19.05;76
ZBRA;384.28;381.97;351.19;314.56;239.55;0.6;9.42;22.16;60.42;18.64;76
AXP;285.54;269.38;251.63;232.01;198.36;6.0;13.48;23.07;43.95;18.5;76
CPAY;364.57;329.72;291.82;302.14;289.93;10.57;24.93;20.66;25.74;18.49;76
GWW;1170.11;1105.0;971.0;914.08;886.45;5.89;20.51;28.01;32.0;18.46;76
CHTR;385.02;327.61;379.72;255.94;370.71;17.52;1.4;50.43;3.86;18.15;75
TFC;46.26;42.04;43.06;35.66;34.59;10.04;7.43;29.73;33.74;18.2;75
GE;177.52;171.53;169.66;161.02;105.09;3.49;4.63;10.25;68.92;18.16;75
GEN;29.16;28.84;25.63;19.74;22.87;1.11;13.77;47.72;27.5;18.24;75
FIS;88.42;89.34;76.14;66.96;60.84;-1.03;16.13;32.05;45.33;18.29;75
ATO;146.97;137.92;126.19;115.52;110.85;6.56;16.47;27.22;32.58;17.88;74
HPQ;37.43;35.23;35.52;27.4;27.75;6.24;5.38;36.61;34.88;17.87;74
TRV;262.69;244.87;214.43;209.24;207.31;7.28;22.51;25.54;26.71;17.86;74
XEL;69.94;66.24;57.2;52.17;57.65;5.59;22.27;34.06;21.32;17.77;74
KVUE;23.51;22.51;17.96;18.1;19.76;4.44;30.9;29.89;18.98;17.73;74
ESS;302.54;281.5;273.57;239.52;224.82;7.47;10.59;26.31;34.57;17.28;73
COST;918.29;873.02;819.74;718.7;674.25;5.19;12.02;27.77;36.19;17.27;73
TTWO;182.93;161.72;150.53;142.81;164.93;13.12;21.52;28.09;10.91;17.35;73
AON;379.81;365.44;327.23;280.24;295.94;3.93;16.07;35.53;28.34;17.56;73
PPL;34.0;32.3;29.22;26.73;25.28;5.26;16.36;27.2;34.49;17.71;73
ANET;370.47;386.44;346.55;256.56;258.68;-4.13;6.9;44.4;43.22;17.25;72
HLT;248.89;234.55;214.23;196.73;190.26;6.11;16.18;26.51;30.82;17.15;72
MCK;615.6;499.95;615.56;535.31;497.44;23.13;0.01;15.0;23.75;17.0;72
BMY;56.8;55.15;46.33;42.31;46.52;2.99;22.6;34.25;22.1;16.99;72
ALL;199.97;185.61;169.33;167.32;151.75;7.74;18.09;19.51;31.78;16.97;72
META;554.4;567.04;473.91;428.88;388.97;-2.23;16.98;29.27;42.53;16.86;71
MAA;158.52;149.89;136.98;125.99;121.12;5.76;15.72;25.82;30.88;16.79;71
CLX;169.1;156.0;129.81;144.29;140.54;8.4;30.27;17.19;20.32;16.92;71
HIG;118.13;109.99;109.97;95.59;85.27;7.4;7.42;23.58;38.54;16.87;71
EVRG;63.87;59.78;56.7;50.64;48.39;6.84;12.65;26.13;31.99;16.89;71
USB;50.61;47.78;43.84;39.24;39.67;5.92;15.44;28.98;27.58;16.77;70
PNW;90.63;86.0;83.83;71.29;65.85;5.38;8.11;27.13;37.63;16.73;70
CRM;322.25;290.91;257.99;267.75;279.85;10.77;24.91;20.35;15.15;16.39;70
NWS;31.45;28.93;28.39;24.36;25.38;8.71;10.78;29.11;23.92;16.25;70
PANW;386.83;360.33;324.73;290.89;338.51;7.35;19.12;32.98;14.27;16.21;70
PSA;337.29;326.31;290.24;251.85;271.92;3.36;16.21;33.92;24.04;16.18;69
MAR;281.45;259.28;226.05;234.33;237.3;8.55;24.51;20.11;18.61;16.07;69
LNT;61.81;59.51;54.74;48.5;46.93;3.86;12.92;27.44;31.71;15.96;69
DIS;113.54;96.2;93.26;110.59;95.3;18.02;21.75;2.67;19.14;15.92;69
WEC;98.43;93.83;83.7;79.52;76.95;4.9;17.6;23.78;27.91;15.82;69
TYL;601.19;605.59;568.11;461.55;422.75;-0.73;5.82;30.25;42.21;15.36;68
EA;164.01;150.66;150.53;126.31;136.83;8.86;8.96;29.85;19.86;15.28;68
AVB;229.22;219.94;201.7;184.83;173.02;4.22;13.64;24.02;32.48;15.72;68
GILD;88.46;88.0;74.44;63.17;75.14;0.52;18.83;40.03;17.73;15.53;68
HUBB;444.93;425.71;393.2;367.0;331.01;4.51;13.16;21.23;34.42;15.57;68
URI;831.38;809.39;752.13;661.97;617.68;2.72;10.54;25.59;34.6;15.23;67
CPT;119.89;114.83;108.8;96.87;90.27;4.41;10.19;23.76;32.81;15.12;67
TJX;119.3;112.29;111.86;92.81;93.27;6.24;6.65;28.54;27.91;15.12;67
UDR;44.44;41.78;39.27;36.9;34.52;6.37;13.17;20.43;28.74;15.02;67
PAYC;218.9;208.55;166.05;186.76;188.61;4.96;31.83;17.21;16.06;15.0;67
APH;69.88;66.85;63.99;60.01;50.13;4.53;9.2;16.45;39.4;14.82;66
CSCO;57.31;54.35;47.67;45.85;48.6;5.45;20.22;24.99;17.92;14.81;66
DGX;162.11;154.07;140.84;135.98;125.73;5.22;15.1;19.22;28.94;14.74;66
WTW;312.7;301.28;280.49;248.75;243.1;3.79;11.48;25.71;28.63;14.68;66
HON;227.73;203.56;201.57;188.7;196.87;11.87;12.98;20.68;15.68;14.62;66
LUV;32.33;30.39;26.61;25.49;29.19;6.38;21.5;26.83;10.76;14.37;65
SYK;389.4;355.49;325.96;334.2;332.29;9.54;19.46;16.52;17.19;14.45;65
CARR;74.05;72.53;67.52;60.96;54.06;2.1;9.67;21.47;36.98;14.46;65
CAH;120.03;108.02;99.85;101.59;107.11;11.12;20.21;18.15;12.06;14.53;65
FAST;81.8;77.78;69.99;66.82;66.31;5.17;16.87;22.42;23.36;14.6;65
PCG;21.04;20.21;18.23;17.08;16.83;4.11;15.41;23.19;25.01;14.37;64
REG;73.77;70.8;66.0;57.41;60.12;4.19;11.77;28.5;22.7;14.27;64
LOW;271.77;260.72;243.29;224.86;208.86;4.24;11.71;20.86;30.12;14.23;64
AVGO;165.67;169.21;159.65;128.64;116.21;-2.09;3.77;28.79;42.56;14.19;64
ADP;297.89;287.79;259.8;237.92;240.29;3.51;14.66;25.21;23.97;14.17;64
DOV;200.53;188.8;183.23;177.74;147.94;6.21;9.44;12.82;35.55;14.05;63
EQR;74.42;69.76;68.35;62.54;57.84;6.68;8.88;19.0;28.67;13.98;63
AMZN;201.7;186.4;186.98;175.0;155.2;8.21;7.87;15.26;29.96;13.9;63
C;68.39;63.0;63.15;59.13;53.46;8.56;8.3;15.66;27.93;13.8;63
MET;82.79;77.25;75.12;68.93;66.64;7.17;10.21;20.11;24.23;13.78;63
HD;410.44;391.37;363.41;327.95;344.03;4.87;12.94;25.15;19.3;13.43;62
AJG;293.59;280.63;282.24;233.08;230.05;4.62;4.02;25.96;27.62;13.37;62
VTRS;13.0;11.48;11.8;11.21;11.26;13.24;10.17;15.97;15.45;13.61;62
SHW;374.66;357.39;348.66;297.12;301.16;4.83;7.46;26.1;24.41;13.53;62
BXP;78.41;79.58;69.32;59.19;62.73;-1.47;13.11;32.47;25.0;13.53;62
V;311.57;288.72;264.15;266.57;270.61;7.91;17.95;16.88;15.14;13.16;61
WBD;9.47;8.13;8.65;7.36;10.02;16.48;9.48;28.67;-5.49;13.12;61
DAY;74.65;70.95;59.28;61.37;69.52;5.21;25.93;21.64;7.38;13.07;61
EOG;136.54;121.09;125.02;129.4;109.17;12.76;9.21;5.52;25.07;13.06;61
EIX;84.08;81.65;78.43;68.86;64.68;2.98;7.2;22.1;29.99;13.05;61
PRU;128.14;121.1;122.58;106.78;100.09;5.81;4.54;20.0;28.02;12.84;60
AAPL;227.77;225.4;221.28;169.5;183.26;1.05;2.93;34.38;24.29;12.74;60
SBUX;99.78;96.52;76.43;86.24;90.17;3.38;30.55;15.7;10.66;12.73;60
CAT;384.46;374.85;343.56;330.81;295.57;2.56;11.9;16.22;30.07;12.66;60
GL;109.75;105.36;92.26;75.61;121.69;4.17;18.96;45.15;-9.81;12.53;60
TSN;64.54;58.15;59.92;59.13;52.83;10.99;7.71;9.15;22.17;12.2;59
CF;86.87;81.24;74.96;76.99;73.25;6.93;15.89;12.83;18.59;12.23;59
MCO;471.94;453.21;454.7;368.06;388.81;4.13;3.79;28.22;21.38;12.33;59
TXN;207.18;201.83;199.73;172.89;155.68;2.65;3.73;19.83;33.08;12.39;59
TAP;61.87;54.02;51.98;55.92;59.94;14.53;19.03;10.64;3.22;12.39;59
MKTX;267.33;288.49;222.05;198.12;222.56;-7.33;20.39;34.93;20.12;12.16;58
NTAP;119.34;114.82;125.94;100.89;85.58;3.94;-5.24;18.29;39.45;12.08;58
WRB;60.83;56.84;54.39;50.56;53.32;7.02;11.84;20.31;14.08;12.05;58
PAYX;140.83;137.31;125.14;115.3;117.22;2.56;12.54;22.14;20.14;11.99;58
IBM;206.46;203.33;187.13;160.4;175.26;1.54;10.33;28.72;17.8;11.99;58
J;140.35;140.29;121.42;118.84;111.59;0.04;15.59;18.1;25.77;11.91;57
EQIX;905.19;899.16;778.28;696.95;808.7;0.67;16.31;29.88;11.93;11.89;57
ORLY;1216.67;1153.14;1126.34;1013.26;1023.05;5.51;8.02;20.07;18.93;11.61;57
VRSK;280.36;274.32;260.98;216.96;240.09;2.2;7.43;29.22;16.77;11.56;57
D;57.71;58.82;52.16;49.06;43.37;-1.89;10.64;17.63;33.06;11.51;57
BR;227.08;209.98;212.24;191.06;200.89;8.14;6.99;18.85;13.04;11.03;56
RTX;118.76;119.71;115.55;99.19;88.38;-0.79;2.78;19.73;34.37;11.06;56
ICE;157.69;155.44;150.64;127.56;125.69;1.45;4.68;23.62;25.46;11.33;56
BBY;89.0;89.57;84.84;71.34;69.35;-0.64;4.9;24.75;28.33;11.34;56
SO;87.32;89.54;81.41;70.89;66.38;-2.48;7.26;23.18;31.55;11.41;56
MA;521.63;498.93;462.41;449.31;446.65;4.55;12.81;16.1;16.79;10.96;55
EXR;164.9;161.81;156.55;130.25;138.56;1.91;5.33;26.6;19.01;10.95;55
FDX;295.21;272.51;299.14;257.78;236.49;8.33;-1.31;14.52;24.83;10.94;55
AME;193.24;183.03;172.91;173.82;161.01;5.58;11.76;11.17;20.02;10.82;55
RSG;209.08;197.43;193.22;190.08;169.13;5.9;8.21;10.0;23.62;10.73;55
FDS;485.93;452.93;411.01;413.91;471.5;7.29;18.23;17.4;3.06;10.65;54
UNH;589.65;562.51;571.7;478.07;504.06;4.82;3.14;23.34;16.98;10.62;54
NWSA;28.61;27.15;27.48;23.62;24.45;5.38;4.11;21.13;17.01;10.6;54
KR;57.75;55.13;53.59;54.11;44.79;4.75;7.76;6.73;28.94;10.59;54
MRO;28.88;27.49;27.72;26.41;22.37;5.06;4.18;9.35;29.1;10.55;54
IT;520.73;502.5;501.19;412.59;457.44;3.63;3.9;26.21;13.84;10.24;53
TROW;118.66;108.56;111.66;105.99;103.67;9.3;6.27;11.95;14.46;10.26;53
PCAR;111.59;103.68;97.82;104.93;95.74;7.63;14.08;6.35;16.56;10.45;53
IVZ;17.27;16.93;16.63;13.48;14.83;2.01;3.85;28.12;16.45;10.49;53
WAT;355.47;323.11;336.28;309.04;317.71;10.02;5.71;15.02;11.89;10.53;53
RMD;238.9;241.37;211.81;212.01;187.84;-1.02;12.79;12.68;27.18;10.12;52
CNP;31.15;29.3;27.35;28.51;27.14;6.31;13.89;9.26;14.78;10.11;52
CPRT;56.63;51.47;52.33;54.31;48.04;10.03;8.22;4.27;17.88;10.09;52
STLD;140.69;130.02;132.25;128.76;119.01;8.21;6.38;9.27;18.22;10.06;52
LH;238.64;227.56;213.98;199.35;219.32;4.87;11.52;19.71;8.81;9.96;52
IR;101.63;95.96;100.34;93.24;79.77;5.91;1.29;9.0;27.4;9.9;51
CHD;110.0;99.37;97.22;106.71;98.46;10.7;13.15;3.08;11.72;9.87;51
ROL;49.89;46.84;47.45;43.97;42.57;6.51;5.14;13.46;17.2;9.76;51
SPGI;503.0;479.49;482.83;413.34;444.7;4.9;4.18;21.69;13.11;9.76;51
L;84.41;78.9;79.82;74.96;72.61;6.98;5.75;12.61;16.25;9.71;51
NSC;260.81;247.72;245.41;225.19;228.37;5.28;6.28;15.82;14.21;9.37;50
CB;288.73;281.55;273.84;246.18;241.66;2.55;5.44;17.28;19.48;9.46;50
MSCI;591.55;568.07;536.04;460.44;590.1;4.13;10.36;28.47;0.25;9.47;50
DUK;112.47;113.13;106.17;94.41;91.02;-0.58;5.93;19.13;23.57;9.49;50
TDY;465.89;455.32;421.86;381.48;418.47;2.32;10.44;22.13;11.33;9.71;50
CME;227.56;224.18;191.6;206.27;196.57;1.51;18.77;10.32;15.77;9.58;50
DD;81.89;82.61;82.93;71.44;60.59;-0.87;-1.25;14.63;35.15;9.36;49
CMS;67.98;68.55;63.29;58.65;54.82;-0.83;7.41;15.91;24.01;9.13;49
INTU;678.81;609.28;645.37;622.84;627.58;11.41;5.18;8.99;8.16;9.03;49
MHK;138.47;134.27;161.07;115.32;104.25;3.13;-14.03;20.07;32.82;9.02;49
NEE;76.39;78.74;75.41;65.51;56.89;-2.98;1.3;16.61;34.28;9.25;49
LDOS;158.84;182.71;143.66;139.09;109.2;-13.06;10.57;14.2;45.46;8.82;48
TSCO;276.82;264.43;261.23;269.66;220.64;4.69;5.97;2.66;25.46;8.69;48
EMN;104.01;104.26;101.68;92.13;80.77;-0.24;2.29;12.89;28.77;8.69;48
ODFL;213.99;201.05;209.58;180.98;194.53;6.44;2.1;18.24;10.0;8.64;48
LHX;243.12;245.08;223.55;209.76;203.0;-0.8;8.75;15.9;19.76;8.56;48
PFG;86.07;81.67;80.09;77.09;76.35;5.39;7.47;11.65;12.73;8.53;47
OTIS;100.38;97.41;93.36;89.76;86.69;3.05;7.52;11.83;15.79;8.25;47
AEP;95.56;96.92;95.36;82.66;74.24;-1.4;0.21;15.61;28.72;8.35;47
ECL;245.97;245.18;229.63;224.55;196.24;0.32;7.12;9.54;25.34;8.53;47
VLTO;102.84;102.11;106.38;93.42;76.4;0.71;-3.33;10.08;34.61;8.56;47
NVR;8865.63;9152.81;8607.48;7438.85;7075.29;-3.14;3.0;19.18;25.3;8.24;46
GOOGL;175.3;170.88;171.12;162.38;139.75;2.59;2.44;7.96;25.44;8.2;46
GOOG;176.8;172.46;172.73;164.24;141.45;2.52;2.36;7.65;24.99;8.01;46
EPAM;233.4;188.65;215.13;235.26;278.11;23.72;8.49;-0.79;-16.08;7.81;46
VMC;278.27;272.95;273.04;255.81;223.95;1.95;1.92;8.78;24.26;7.77;46
LMT;530.96;543.02;535.31;455.91;418.1;-2.22;-0.81;16.46;26.99;7.64;45
ABT;117.36;112.84;104.89;104.4;110.94;4.01;11.89;12.41;5.79;7.62;45
CVX;159.14;145.69;155.52;154.61;139.87;9.23;2.33;2.93;13.78;7.5;45
MMC;223.67;217.44;220.92;197.26;191.05;2.87;1.24;13.39;17.07;7.49;45
WM;218.31;215.07;201.18;205.77;182.86;1.51;8.51;6.09;19.39;7.4;45
VICI;31.89;31.35;30.4;27.37;28.5;1.72;4.9;16.51;11.89;7.35;44
PHM;128.57;129.35;131.58;110.87;103.84;-0.6;-2.29;15.96;23.82;7.26;44
TDG;1252.35;1233.47;1225.82;1182.07;998.23;1.53;2.16;5.95;25.46;7.33;44
ITW;270.06;259.65;244.42;240.02;255.17;4.01;10.49;12.52;5.84;7.37;44
DRI;164.45;158.61;143.55;149.29;156.95;3.68;14.56;10.15;4.78;7.37;44
XOM;119.33;114.9;115.74;114.37;98.52;3.86;3.1;4.34;21.12;7.26;43
FSLR;195.56;194.48;215.99;176.3;146.3;0.56;-9.46;10.92;33.67;7.25;43
ROK;281.83;264.2;274.76;265.99;247.42;6.67;2.57;5.96;13.91;7.16;43
JBL;128.21;122.92;112.44;117.05;124.88;4.3;14.03;9.53;2.67;6.97;43
FRT;112.53;109.78;109.39;100.98;97.59;2.51;2.87;11.44;15.31;6.93;43
EXC;38.84;38.51;36.09;36.08;33.11;0.86;7.62;7.65;17.31;6.86;42
CMG;58.81;55.77;54.32;63.19;48.18;5.45;8.27;-6.93;22.06;6.86;42
IEX;226.66;213.93;206.45;218.31;208.8;5.95;9.79;3.82;8.55;6.81;42
FE;41.26;40.98;40.62;36.74;34.76;0.68;1.58;12.3;18.7;6.79;42
PG;170.75;164.21;158.86;160.24;153.32;3.98;7.48;6.56;11.37;6.67;42
TGT;156.56;148.88;148.22;157.47;134.65;5.16;5.63;-0.58;16.27;6.33;41
CBOE;205.77;213.57;183.51;181.15;183.29;-3.65;12.13;13.59;12.26;6.14;41
ACN;352.79;343.42;327.84;297.23;358.12;2.73;7.61;18.69;-1.49;6.05;41
CDNS;294.33;276.12;267.66;275.63;288.46;6.59;9.96;6.78;2.03;6.39;41
AZO;3166.93;3009.0;3133.69;2956.4;2762.13;5.25;1.06;7.12;14.66;6.67;41
ALLE;138.64;139.16;135.8;120.23;122.07;-0.37;2.09;15.31;13.57;6.05;40
