Symbol;last price;price 3mo;price 6mo;price 9mo;price 12mo;change 3mo;change 6mo;change 9mo;change 12mo
PWR;328.41;301.54;265.21;258.30;193.78;8.91;23.83;27.14;69.48
COR;242.32;227.07;236.29;236.95;230.03;6.72;2.55;2.27;5.34
ODFL;213.99;201.05;209.58;180.98;194.53;6.44;2.10;18.24;10.00
FIS;88.42;89.34;76.14;66.96;60.84;-1.03;16.13;32.05;45.33
OXY;50.91;49.90;60.34;65.38;56.73;2.02;-15.63;-22.13;-10.26
MSCI;591.55;568.07;536.04;460.44;590.10;4.13;10.36;28.47;0.25
AIG;76.31;75.46;78.37;74.14;68.06;1.13;-2.63;2.93;12.12
ROST;141.30;139.38;142.52;128.58;138.88;1.38;-0.86;9.89;1.74
D;57.71;58.82;52.16;49.06;43.37;-1.89;10.64;17.63;33.06
VST;146.63;124.66;78.83;75.20;40.46;17.62;86.01;94.99;262.41
FAST;81.80;77.78;69.99;66.82;66.31;5.17;16.87;22.42;23.36
LHX;243.12;245.08;223.55;209.76;203.00;-0.80;8.75;15.90;19.76
NEM;42.36;45.22;48.54;39.89;33.54;-6.32;-12.73;6.19;26.30
AXON;600.00;423.50;300.01;313.66;249.06;41.68;99.99;91.29;140.91
LEN;167.92;169.83;175.83;150.18;147.95;-1.12;-4.50;11.81;13.50
HWM;113.09;99.56;95.49;66.55;56.03;13.59;18.43;69.93;101.84
TEL;148.36;146.78;153.01;139.69;139.76;1.08;-3.04;6.21;6.15
KDP;31.24;32.75;33.86;33.05;30.63;-4.61;-7.74;-5.48;1.99
KVUE;23.51;22.51;17.96;18.10;19.76;4.44;30.90;29.89;18.98
NDAQ;79.78;73.68;67.18;59.19;56.91;8.28;18.76;34.79;40.19
PCG;21.04;20.21;18.23;17.08;16.83;4.11;15.41;23.19;25.01
AME;193.24;183.03;172.91;173.82;161.01;5.58;11.76;11.17;20.02
PRU;128.14;121.10;122.58;106.78;100.09;5.81;4.54;20.00;28.02
CCI;104.59;106.08;106.93;89.80;102.27;-1.40;-2.19;16.47;2.27
HES;146.88;133.96;152.36;155.94;138.73;9.64;-3.60;-5.81;5.87
VLO;144.01;128.90;159.55;157.72;134.90;11.72;-9.74;-8.69;6.75
F;11.06;10.00;10.39;11.36;10.95;10.60;6.45;-2.64;1.00
STZ;237.06;230.39;242.13;249.43;240.27;2.90;-2.09;-4.96;-1.34
KMB;136.01;133.07;132.74;132.89;116.61;2.21;2.46;2.35;16.64
DFS;173.22;147.65;142.43;124.65;102.96;17.32;21.62;38.97;68.24
PEG;89.43;88.74;78.53;67.38;56.05;0.78;13.88;32.72;59.55
EA;164.01;150.66;150.53;126.31;136.83;8.86;8.96;29.85;19.86
KR;57.75;55.13;53.59;54.11;44.79;4.75;7.76;6.73;28.94
BKR;42.83;37.64;38.02;31.80;27.63;13.79;12.65;34.69;55.01
TRGP;199.00;166.21;133.92;112.19;83.08;19.73;48.60;77.38;139.53
DAL;63.24;57.05;42.66;49.54;38.72;10.85;48.24;27.65;63.33
IR;101.63;95.96;100.34;93.24;79.77;5.91;1.29;9.00;27.40
IT;520.73;502.50;501.19;412.59;457.44;3.63;3.90;26.21;13.84
GRMN;209.27;197.54;169.75;142.50;117.18;5.94;23.28;46.86;78.59
LULU;309.53;297.90;258.66;360.60;453.82;3.90;19.67;-14.16;-31.79
VRSK;280.36;274.32;260.98;216.96;240.09;2.20;7.43;29.22;16.77
GLW;46.16;46.99;39.21;32.43;31.26;-1.77;17.73;42.34;47.66
CTSH;76.87;74.30;75.06;64.89;75.88;3.46;2.41;18.46;1.30
OTIS;100.38;97.41;93.36;89.76;86.69;3.05;7.52;11.83;15.79
CBRE;132.67;130.97;112.71;86.89;86.31;1.30;17.71;52.69;53.71
XEL;69.94;66.24;57.20;52.17;57.65;5.59;22.27;34.06;21.32
CTVA;56.99;60.74;55.77;53.66;44.92;-6.17;2.19;6.21;26.87
EW;69.89;67.01;63.05;84.67;78.47;4.30;10.85;-17.46;-10.93
KHC;31.07;33.08;34.41;37.30;35.47;-6.08;-9.71;-16.70;-12.40
EXC;38.84;38.51;36.09;36.08;33.11;0.86;7.62;7.65;17.31
YUM;134.01;130.51;131.52;139.16;126.98;2.68;1.89;-3.70;5.54
GEHC;82.72;87.32;84.57;76.16;73.25;-5.27;-2.19;8.61;12.93
ACGL;92.22;93.72;91.08;88.95;78.38;-1.60;1.25;3.68;17.66
A;126.92;130.10;140.91;136.35;129.22;-2.44;-9.93;-6.92;-1.78
VMC;278.27;272.95;273.04;255.81;223.95;1.95;1.92;8.78;24.26
IQV;191.04;205.82;246.23;231.77;208.23;-7.18;-22.41;-17.57;-8.26
SYY;75.76;74.45;75.58;72.83;78.77;1.76;0.24;4.02;-3.82
HSY;168.63;174.93;193.23;188.40;186.89;-3.60;-12.73;-10.49;-9.77
EXR;164.90;161.81;156.55;130.25;138.56;1.91;5.33;26.60;19.01
MLM;581.64;591.46;591.71;584.69;505.55;-1.66;-1.70;-0.52;15.05
GIS;62.88;67.45;65.94;68.62;62.64;-6.78;-4.64;-8.36;0.38
MTB;214.82;193.15;169.30;140.66;133.16;11.22;26.89;52.72;61.32
MCHP;65.25;72.97;87.88;90.56;83.43;-10.58;-25.75;-27.95;-21.79
LVS;48.95;51.38;39.14;43.59;47.88;-4.73;25.06;12.30;2.23
HPQ;37.43;35.23;35.52;27.40;27.75;6.24;5.38;36.61;34.88
DD;81.89;82.61;82.93;71.44;60.59;-0.87;-1.25;14.63;35.15
IDXX;419.83;406.92;476.12;492.76;515.08;3.17;-11.82;-14.80;-18.49
WAB;195.26;187.55;160.59;160.29;130.73;4.11;21.59;21.82;49.36
NUE;147.25;141.33;161.79;166.87;184.53;4.19;-8.99;-11.76;-20.20
HUM;271.35;257.12;359.73;299.76;374.40;5.53;-24.57;-9.48;-27.52
RMD;238.90;241.37;211.81;212.01;187.84;-1.02;12.79;12.68;27.18
HIG;118.13;109.99;109.97;95.59;85.27;7.40;7.42;23.58;38.54
IRM;115.50;122.97;101.18;75.86;65.44;-6.07;14.15;52.25;76.50
VICI;31.89;31.35;30.40;27.37;28.50;1.72;4.90;16.51;11.89
ED;95.63;99.99;95.08;91.18;87.00;-4.36;0.58;4.88;9.92
RJF;163.42;147.68;115.15;120.68;108.55;10.66;41.92;35.42;50.55
EFX;245.29;264.68;278.57;219.22;242.81;-7.33;-11.95;11.89;1.02
AVB;229.22;219.94;201.70;184.83;173.02;4.22;13.64;24.02;32.48
ROK;281.83;264.20;274.76;265.99;247.42;6.67;2.57;5.96;13.91
TTWO;182.93;161.72;150.53;142.81;164.93;13.12;21.52;28.09;10.91
EIX;84.08;81.65;78.43;68.86;64.68;2.98;7.20;22.10;29.99
WTW;312.70;301.28;280.49;248.75;243.10;3.79;11.48;25.71;28.63
FITB;46.82;43.30;41.57;35.45;32.95;8.13;12.63;32.07;42.09
CCL;24.51;22.00;16.66;14.82;16.58;11.41;47.12;65.38;47.83
ETR;148.07;152.06;112.72;102.50;94.74;-2.62;31.36;44.46;56.29
DOW;44.22;48.74;53.11;54.79;50.91;-9.27;-16.74;-19.29;-13.14
BRO;109.63;104.36;99.01;81.06;77.10;5.05;10.73;35.25;42.19
CSGP;73.35;72.79;78.02;91.53;83.48;0.77;-5.99;-19.86;-12.13
WEC;98.43;93.83;83.70;79.52;76.95;4.90;17.60;23.78;27.91
UAL;90.38;78.26;45.42;51.46;41.38;15.49;98.99;75.63;118.41
EBAY;61.41;57.25;55.07;50.77;40.21;7.27;11.51;20.96;52.72
LYV;132.60;117.14;96.19;88.91;88.85;13.20;37.85;49.14;49.24
ANSS;336.40;320.41;313.63;324.88;327.83;4.99;7.26;3.55;2.61
CNC;58.83;62.26;76.92;73.06;75.31;-5.51;-23.52;-19.48;-21.88
TSCO;276.82;264.43;261.23;269.66;220.64;4.69;5.97;2.66;25.46
GPN;116.06;103.47;101.14;121.93;132.07;12.17;14.75;-4.81;-12.12
XYL;122.46;121.46;132.80;129.64;111.16;0.82;-7.79;-5.54;10.17
CAH;120.03;108.02;99.85;101.59;107.11;11.12;20.21;18.15;12.06
DXCM;76.27;70.48;67.82;127.39;121.35;8.22;12.46;-40.13;-37.15
PPG;122.75;123.13;124.96;126.36;137.46;-0.31;-1.77;-2.86;-10.70
EQR;74.42;69.76;68.35;62.54;57.84;6.68;8.88;19.00;28.67
ON;66.48;70.49;78.25;70.16;71.13;-5.69;-15.04;-5.25;-6.54
MPWR;587.84;758.27;860.59;666.14;598.91;-22.48;-31.69;-11.75;-1.85
NVR;8865.63;9152.81;8607.48;7438.85;7075.29;-3.14;3.00;19.18;25.30
